Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
1JANATAMF,3.2,3.23,3.2,3.1,3.2,3.1,0.1,22,0.17,55236
1STPRIMFMF,20.3,-0.49,20.7,20.3,20.3,20.4,-0.1,226,3.61,176162
AAMRANET,23.9,-0.42,24.4,23.9,23.9,24.0,-0.1,237,3.72,154690
AAMRATECH,15.3,-1.29,15.9,15.2,15.3,15.5,-0.2,79,0.8,52184
ABB1STMF,3.2,0.0,3.2,3.2,3.2,3.2,0.0,4,0.05,14350
ABBANK,7.3,-1.35,7.5,7.3,7.3,7.4,-0.1,157,3.96,535420
ABBLPBOND,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0,0.0,0
ACFL,18.1,-1.63,18.3,18.0,18.1,18.4,-0.3,115,1.47,81024
ACHIASF,45.5,1.79,45.5,45.5,45.5,44.7,0.8,10,0.02,500
ACI,167.0,-0.95,169.8,167.0,167.0,168.6,-1.6,309,6.46,38439
ACIFORMULA,127.7,-3.04,131.5,127.7,127.7,131.7,-4.0,204,2.38,18434
ACMELAB,74.6,0.0,74.8,74.5,74.6,74.6,0.0,223,3.35,44784
ACMEPL,14.0,-0.71,14.3,13.9,14.0,14.1,-0.1,259,6.78,482359
ACTIVEFINE,9.5,-5.0,10.0,9.5,9.5,10.0,-0.5,399,5.96,620668
ADNTEL,86.1,-1.03,87.5,85.8,86.1,87.0,-0.9,509,10.99,126896
ADVENT,16.7,-0.6,17.3,16.6,16.7,16.8,-0.1,718,16.52,973105
AFCAGRO,10.6,-2.75,11.1,10.5,10.6,10.9,-0.3,129,2.51,234954
AFTABAUTO,34.8,-0.85,35.5,34.6,34.8,35.1,-0.3,201,3.95,112514
AGNISYSL,27.1,-1.45,27.7,27.0,27.1,27.5,-0.4,586,16.16,592795
AGRANINS,24.0,0.0,24.4,24.0,24.0,24.0,0.0,10,0.2,8356
AIBL1STIMF,6.9,1.47,7.0,6.7,6.9,6.8,0.1,4,0.0,234
AIL,76.5,-1.16,78.6,75.8,76.5,77.4,-0.9,2474,74.72,971625
ALARABANK,21.2,0.95,21.2,20.6,21.2,21.0,0.2,77,1.51,71894
AL-HAJTEX,157.3,-1.19,160.0,155.6,157.3,159.2,-1.9,471,29.93,190019
ALIF,7.4,-1.33,7.5,7.3,7.4,7.5,-0.1,175,2.82,381653
ALLTEX,13.4,0.75,13.5,13.0,13.4,13.3,0.1,51,0.36,26867
AMANFEED,27.4,-1.08,28.1,27.2,27.4,27.7,-0.3,207,7.72,280347
AMBEEPHA,731.0,-1.39,754.0,721.0,731.0,741.3,-10.3,23,0.41,552
AMCL(PRAN),204.9,0.0,207.0,204.5,204.9,204.9,0.0,36,0.29,1397
AMPL,29.8,0.0,30.3,28.1,29.8,29.8,0.0,22,0.29,9685
ANLIMAYARN,24.7,-2.37,25.7,24.6,24.7,25.3,-0.6,47,0.24,9500
ANWARGALV,69.5,-1.84,71.3,69.0,69.5,70.8,-1.3,562,7.78,111086
AOL,17.3,4.22,18.0,16.6,17.3,16.6,0.7,524,12.2,703147
AOPLC,16.4,0.61,16.6,16.1,16.4,16.3,0.1,24,0.13,7877
APEXFOODS,209.8,-1.32,211.9,209.8,209.8,212.6,-2.8,78,1.08,5124
APEXFOOT,207.0,-0.58,209.6,205.2,207.0,208.2,-1.2,120,1.84,8845
APEXSPINN,97.6,-0.81,99.8,97.6,97.6,98.4,-0.8,45,0.26,2659
APEXTANRY,68.0,-0.73,69.1,68.0,68.0,68.5,-0.5,19,0.16,2285
APEXWEAV,6.8,-1.45,7.0,6.8,6.8,6.9,-0.1,3,0.01,1068
APOLOISPAT,4.1,0.0,4.2,4.0,4.1,4.1,0.0,83,1.6,394844
APSCLBOND,0.0,0.0,0.0,0.0,0.0,3059.0,0.0,0,0.0,0
ARAMIT,168.0,-0.77,170.6,168.0,168.0,169.3,-1.3,20,0.11,641
ARAMITCEM,15.8,5.33,16.5,14.9,15.8,15.0,0.8,348,5.24,320437
ARGONDENIM,17.3,-0.57,17.5,17.3,17.3,17.4,-0.1,85,1.29,74124
ASIAINS,27.1,-0.73,27.4,27.1,27.1,27.3,-0.2,50,0.55,20258
ASIAPACINS,30.4,0.0,30.5,30.3,30.4,30.4,0.0,8,0.04,1320
ASIATICLAB,37.4,-1.06,38.1,37.4,37.4,37.8,-0.4,309,8.01,213223
ATCSLGF,7.0,2.94,7.1,6.8,7.0,6.8,0.2,246,13.56,1961020
ATLASBANG,0.0,0.0,0.0,0.0,0.0,51.5,0.0,0,0.0,0
AZIZPIPES,54.0,-3.4,55.0,54.0,54.0,55.9,-1.9,154,0.52,9436
BANGAS,97.8,-2.1,101.4,97.6,97.8,99.9,-2.1,277,2.84,28696
BANKASIA,17.2,0.0,17.3,17.1,17.2,17.2,0.0,17,0.39,22663
BARKAPOWER,10.3,-0.96,10.6,10.2,10.3,10.4,-0.1,121,0.96,92957
BATASHOE,832.0,-2.0,890.0,831.0,832.0,849.0,-17.0,167,1.78,2114
BATBC,328.2,-0.76,331.9,327.3,328.2,330.7,-2.5,1008,23.11,70088
BAYLEASING,6.2,-1.59,6.4,6.2,6.2,6.3,-0.1,30,0.31,49625
BBS,11.9,-0.83,12.2,11.8,11.9,12.0,-0.1,286,5.76,483624
BBSCABLES,17.8,-2.2,18.3,17.8,17.8,18.2,-0.4,121,1.31,72843
BDAUTOCA,98.0,-0.71,101.0,97.2,98.0,98.7,-0.7,315,3.29,33216
BDCOM,24.9,-1.58,25.5,24.8,24.9,25.3,-0.4,312,7.59,302639
BDFINANCE,12.5,-1.57,12.8,12.5,12.5,12.7,-0.2,107,1.56,123432
BDLAMPS,118.0,-0.67,121.5,115.1,118.0,118.8,-0.8,243,2.27,19087
BDPAINTS,23.6,0.43,23.6,23.6,23.6,23.5,0.1,1,0.0,1
BDTHAI,15.0,-1.32,15.4,14.9,15.0,15.2,-0.2,451,10.35,684053
BDTHAIFOOD,15.6,-2.5,16.1,15.4,15.6,16.0,-0.4,364,10.23,650835
BDWELDING,12.0,-1.64,12.4,11.8,12.0,12.2,-0.2,74,0.81,67460
BEACHHATCH,111.6,2.1,112.9,109.3,111.6,109.3,2.3,693,24.9,225020
BEACONPHAR,126.1,-0.24,129.0,126.1,126.1,126.4,-0.3,192,5.36,41964
BENGALBISC,57.4,-1.2,57.5,57.4,57.4,58.1,-0.7,4,0.02,330
BENGALWTL,18.8,0.53,19.1,18.7,18.8,18.7,0.1,125,2.72,143911
BERGERPBL,1787.0,0.17,1802.0,1787.0,1787.0,1784.0,3.0,6,0.06,31
BESTHLDNG,18.5,-1.6,18.9,18.5,18.5,18.8,-0.3,464,10.63,570719
BEXGSUKUK,43.0,-6.52,46.0,43.0,43.0,46.0,-3.0,35,1.29,29628
BEXIMCO,0.0,0.0,0.0,0.0,0.0,110.1,0.0,0,0.0,0
BGIC,32.6,-1.21,32.6,32.5,32.6,33.0,-0.4,11,0.04,1315
BIFC,7.4,-1.33,7.7,7.4,7.4,7.5,-0.1,61,0.23,30620
BNICL,39.2,-1.01,40.0,39.1,39.2,39.6,-0.4,75,0.67,17093
BPML,38.0,-3.55,40.3,37.5,38.0,39.4,-1.4,795,12.66,326689
BPPL,10.8,-0.92,11.1,10.8,10.8,10.9,-0.1,143,1.68,153502
BRACBANK,52.1,-0.95,52.8,51.9,52.1,52.6,-0.5,570,72.17,1380924
BSC,85.1,-0.47,86.2,85.1,85.1,85.5,-0.4,679,16.05,187486
BSCPLC,127.8,-0.54,128.8,127.4,127.8,128.5,-0.7,161,2.99,23377
BSRMLTD,76.3,-0.13,77.9,76.3,76.3,76.4,-0.1,45,0.17,2148
BSRMSTEEL,51.6,0.19,52.0,51.1,51.6,51.5,0.1,23,0.18,3462
BXPHARMA,78.0,-1.27,79.9,78.0,78.0,79.0,-1.0,176,4.02,51320
BXSYNTH,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0,0.0,0
CAPITECGBF,7.4,-1.33,7.6,7.4,7.4,7.5,-0.1,131,1.65,222313
CAPMBDBLMF,8.0,-1.23,8.1,8.0,8.0,8.1,-0.1,38,2.58,322333
CAPMIBBLMF,8.7,-1.14,8.7,8.7,8.7,8.8,-0.1,7,0.05,6020
CBLPBOND,0.0,0.0,0.0,0.0,0.0,1037500.0,0.0,0,0.0,0
CENTRALINS,37.1,0.82,37.4,36.5,37.1,36.8,0.3,47,1.91,51679
CENTRALPHL,12.1,0.0,12.6,12.1,12.1,12.1,0.0,494,10.26,829789
CITYBANK,22.6,0.0,22.8,22.6,22.6,22.6,0.0,193,11.65,513416
CITYGENINS,36.3,-0.27,36.7,36.2,36.3,36.4,-0.1,84,0.87,23846
CLICL,41.8,-0.71,42.6,41.8,41.8,42.1,-0.3,67,1.39,33056
CNATEX,4.4,0.0,4.5,4.4,4.4,4.4,0.0,63,2.54,575950
CONFIDCEM,53.0,-0.93,53.6,53.0,53.0,53.5,-0.5,148,2.77,52159
CONTININS,24.0,-0.41,24.3,24.0,24.0,24.1,-0.1,49,0.88,36439
COPPERTECH,20.3,-1.46,21.1,20.3,20.3,20.6,-0.3,141,2.07,100476
CRAFTSMAN,30.0,-0.66,32.3,30.0,30.0,30.2,-0.2,55,0.66,22010
CROWNCEMNT,45.7,0.44,45.7,45.0,45.7,45.5,0.2,44,0.2,4436
CRYSTALINS,47.9,-1.24,48.9,47.7,47.9,48.5,-0.6,279,5.82,120468
CVOPRL,130.7,-1.58,133.3,130.7,130.7,132.8,-2.1,230,4.34,32937
DACCADYE,18.0,-1.64,18.3,18.0,18.0,18.3,-0.3,105,1.78,98715
DAFODILCOM,66.8,1.67,66.9,66.8,66.8,65.7,1.1,4,0.04,551
DBH,36.5,-0.54,36.9,36.3,36.5,36.7,-0.2,119,3.2,87673
DBH1STMF,3.8,-2.56,3.9,3.7,3.8,3.9,-0.1,30,0.82,217439
DBLPBOND,0.0,0.0,0.0,0.0,0.0,5250.0,0.0,0,0.0,0
DELTALIFE,76.0,-0.78,77.0,76.0,76.0,76.6,-0.6,208,3.63,47530
DELTASPINN,6.7,-1.47,6.9,6.6,6.7,6.8,-0.1,109,1.41,210770
DESCO,23.5,-1.26,24.0,23.3,23.5,23.8,-0.3,60,1.06,44698
DESHBANDHU,21.2,-2.3,22.2,21.0,21.2,21.7,-0.5,523,12.81,593122
DGIC,21.2,-0.47,21.5,21.0,21.2,21.3,-0.1,41,0.99,46831
DHAKABANK,11.1,0.0,11.2,11.1,11.1,11.1,0.0,49,0.88,79416
DHAKAINS,36.3,-0.82,37.9,36.3,36.3,36.6,-0.3,63,0.38,10407
DOMINAGE,11.8,-1.67,12.2,11.8,11.8,12.0,-0.2,263,5.21,433614
DOREENPWR,23.0,-1.29,23.5,23.0,23.0,23.3,-0.3,61,1.5,64934
DSHGARME,75.0,0.0,75.9,74.0,75.0,75.0,0.0,87,0.89,11871
DSSL,11.6,-0.85,11.8,11.5,11.6,11.7,-0.1,430,9.43,809269
DULAMIACOT,77.7,0.13,78.0,76.2,77.7,77.6,0.1,21,0.07,952
DUTCHBANGL,51.7,-0.19,52.5,51.7,51.7,51.8,-0.1,21,0.43,8253
EASTERNINS,45.4,-0.44,45.4,44.9,45.4,45.6,-0.2,19,0.06,1314
EASTLAND,18.7,0.0,18.8,18.7,18.7,18.7,0.0,7,0.06,3120
EASTRNLUB,1405.0,-1.33,1427.9,1400.0,1405.0,1423.9,-18.9,292,4.46,3159
EBL,25.9,0.0,26.0,25.9,25.9,25.9,0.0,48,1.94,74690
EBL1STMF,4.8,-2.04,5.1,4.7,4.8,4.9,-0.1,78,0.73,150111
EBLNRBMF,3.2,0.0,3.3,3.2,3.2,3.2,0.0,15,0.44,137856
ECABLES,114.0,1.97,116.5,109.0,114.0,111.8,2.2,387,4.3,37984
EGEN,23.9,-1.24,24.4,23.9,23.9,24.2,-0.3,248,5.59,231865
EHL,72.1,-0.41,72.8,72.0,72.1,72.4,-0.3,262,5.63,77830
EIL,50.1,1.21,51.0,49.8,50.1,49.5,0.6,130,3.79,75397
EMERALDOIL,25.0,-1.19,25.8,24.9,25.0,25.3,-0.3,288,4.33,171965
ENVOYTEX,43.4,-1.14,44.4,43.0,43.4,43.9,-0.5,63,1.55,35671
EPGL,19.2,-2.54,19.9,19.0,19.2,19.7,-0.5,578,9.36,481516
ESQUIRENIT,23.6,0.85,23.6,23.1,23.6,23.4,0.2,62,1.5,64243
ETL,10.0,-1.96,10.3,9.9,10.0,10.2,-0.2,351,8.44,836830
EXIM1STMF,3.1,0.0,3.2,3.1,3.1,3.1,0.0,12,0.06,19085
EXIMBANK,6.6,0.0,6.7,6.6,6.6,6.6,0.0,32,0.32,47450
FAMILYTEX,2.7,0.0,2.8,2.7,2.7,2.7,0.0,88,0.84,308831
FARCHEM,24.2,0.41,24.7,24.1,24.2,24.1,0.1,236,4.6,189750
FAREASTFIN,3.2,0.0,3.3,3.2,3.2,3.2,0.0,10,0.06,19988
FAREASTLIF,30.4,-0.65,31.3,30.3,30.4,30.6,-0.2,20,0.22,7302
FASFIN,3.5,-2.78,3.7,3.4,3.5,3.6,-0.1,48,0.21,58467
FBFIF,3.1,0.0,3.1,3.0,3.1,3.1,0.0,27,0.72,234183
FEDERALINS,17.6,-1.12,17.9,17.6,17.6,17.8,-0.2,36,0.35,19750
FEKDIL,18.1,-0.55,18.3,17.9,18.1,18.2,-0.1,767,34.06,1885657
FINEFOODS,180.2,-0.61,181.7,178.9,180.2,181.3,-1.1,489,10.16,56314
FIRSTFIN,3.5,6.06,3.6,3.5,3.5,3.3,0.2,33,0.25,68686
FIRSTSBANK,4.9,0.0,5.0,4.9,4.9,4.9,0.0,155,5.02,1021371
FORTUNE,19.0,-3.55,20.0,18.9,19.0,19.7,-0.7,742,11.89,616430
FUWANGCER,14.3,-0.69,14.7,14.3,14.3,14.4,-0.1,383,11.86,818261
FUWANGFOOD,16.4,-2.96,17.2,16.3,16.4,16.9,-0.5,1019,32.92,1979541
GBBPOWER,7.9,-1.25,8.2,7.9,7.9,8.0,-0.1,41,0.28,35320
GEMINISEA,155.4,-2.33,160.0,154.1,155.4,159.1,-3.7,810,15.09,96815
GENEXIL,26.6,-0.75,26.8,26.5,26.6,26.8,-0.2,207,3.85,144762
GENNEXT,3.3,0.0,3.3,3.2,3.3,3.3,0.0,88,1.63,506367
GHAIL,12.8,-2.29,13.4,12.8,12.8,13.1,-0.3,423,13.84,1055706
GHCL,23.3,1.75,23.8,22.9,23.3,22.9,0.4,178,3.04,130157
GIB,4.0,0.0,4.1,4.0,4.0,4.0,0.0,206,5.06,1265531
GLDNJMF,8.0,0.0,8.1,7.9,8.0,8.0,0.0,131,2.41,301149
GLOBALINS,22.7,-0.44,23.2,22.6,22.7,22.8,-0.1,19,0.2,8711
GOLDENSON,13.8,-1.43,14.1,13.7,13.8,14.0,-0.2,264,5.63,405150
GP,325.6,-0.4,327.5,325.0,325.6,326.9,-1.3,510,27.86,85525
GPHISPAT,21.3,-0.93,21.6,21.3,21.3,21.5,-0.2,351,5.75,268778
GQBALLPEN,156.0,-0.7,159.7,155.9,156.0,157.1,-1.1,131,3.57,22847
GRAMEENS2,13.2,0.0,13.3,13.2,13.2,13.2,0.0,28,0.41,31213
GREENDELMF,3.4,0.0,3.4,3.4,3.4,3.4,0.0,4,0.07,20000
GREENDELT,0.0,0.0,0.0,0.0,0.0,47.8,0.0,0,0.0,0
GSPFINANCE,6.1,-1.61,6.2,6.1,6.1,6.2,-0.1,38,0.34,55807
HAKKANIPUL,59.9,-0.33,61.0,59.6,59.9,60.1,-0.2,666,18.77,311073
HAMI,100.0,-0.99,101.7,100.0,100.0,101.0,-1.0,90,0.54,5377
HEIDELBCEM,209.5,-0.71,214.0,209.5,209.5,211.0,-1.5,12,0.31,1472
HFL,12.9,-3.01,13.6,12.7,12.9,13.3,-0.4,317,9.08,706012
HIMADRI,1323.0,-10.0,1323.0,1323.0,1323.0,1470.0,-147.0,2,0.0,2
HRTEX,40.7,0.25,41.9,39.4,40.7,40.6,0.1,1174,26.22,647683
HWAWELLTEX,40.9,-1.21,41.6,40.9,40.9,41.4,-0.5,36,0.56,13619
IBNSINA,291.8,-0.38,293.9,291.7,291.8,292.9,-1.1,149,5.63,19306
IBP,11.5,9.52,11.5,10.9,11.5,10.5,1.0,705,55.01,4784882
ICB,52.2,-0.57,52.8,52.0,52.2,52.5,-0.3,179,2.71,51789
ICB3RDNRB,4.5,0.0,4.5,4.4,4.5,4.5,0.0,14,0.59,132105
ICBAGRANI1,6.4,1.59,6.4,6.3,6.4,6.3,0.1,3,0.0,502
ICBAMCL2ND,6.0,0.0,6.1,6.0,6.0,6.0,0.0,7,0.01,1275
ICBEPMF1S1,5.0,0.0,5.0,5.0,5.0,5.0,0.0,1,0.01,2000
ICBIBANK,3.0,0.0,3.1,3.0,3.0,3.0,0.0,16,0.36,121055
ICBSONALI1,6.0,0.0,6.1,6.0,6.0,6.0,0.0,34,0.67,111650
ICICL,21.2,-0.47,21.4,21.1,21.2,21.3,-0.1,60,0.51,24192
IDLC,31.9,0.0,32.2,31.7,31.9,31.9,0.0,128,3.71,116503
IFADAUTOS,23.9,-1.65,24.5,23.9,23.9,24.3,-0.4,221,3.94,163123
IFIC,7.2,0.0,7.3,7.0,7.2,7.2,0.0,498,30.65,4284337
IFIC1STMF,3.2,3.23,3.2,3.1,3.2,3.1,0.1,17,0.08,27011
IFILISLMF1,4.3,0.0,4.3,4.3,4.3,4.3,0.0,22,1.55,360814
ILFSL,3.7,0.0,3.7,3.6,3.7,3.7,0.0,6,0.01,3681
INDEXAGRO,67.9,-1.16,68.3,67.7,67.9,68.7,-0.8,152,1.22,17895
INTECH,23.5,-1.26,24.2,23.2,23.5,23.8,-0.3,244,3.97,168618
INTRACO,21.7,-2.25,22.4,21.7,21.7,22.2,-0.5,704,23.87,1083014
IPDC,17.9,0.0,18.0,17.8,17.9,17.9,0.0,107,2.87,160412
ISLAMIBANK,44.6,-1.11,45.3,44.5,44.6,45.1,-0.5,299,8.29,185038
ISLAMICFIN,11.1,-0.89,11.4,11.1,11.1,11.2,-0.1,140,3.28,292646
ISLAMIINS,37.8,-0.26,38.7,37.8,37.8,37.9,-0.1,15,0.21,5548
ISNLTD,41.1,-1.44,43.8,41.1,41.1,41.7,-0.6,100,1.54,37080
ITC,38.0,0.0,38.2,37.8,38.0,38.0,0.0,174,4.97,130839
JAMUNABANK,19.4,-0.51,19.5,19.4,19.4,19.5,-0.1,72,6.81,350790
JAMUNAOIL,175.5,-0.17,176.0,175.5,175.5,175.8,-0.3,87,1.39,7893
JANATAINS,24.9,-0.4,25.5,24.9,24.9,25.0,-0.1,35,0.26,10547
JHRML,53.2,-0.93,54.1,53.1,53.2,53.7,-0.5,280,5.75,107038
JMISMDL,136.4,-0.58,138.5,136.0,136.4,137.2,-0.8,88,1.54,11296
JUTESPINN,233.8,5.03,234.7,224.0,233.8,222.6,11.2,8,0.05,205
KARNAPHULI,28.0,-0.36,28.3,27.9,28.0,28.1,-0.1,72,1.59,56574
KAY&QUE,192.1,-0.57,196.0,192.1,192.1,193.2,-1.1,124,2.21,11439
KBPPWBIL,156.0,-1.14,159.5,155.0,156.0,157.8,-1.8,673,24.13,152578
KBSEED,9.3,-1.06,9.5,9.3,9.3,9.4,-0.1,6,0.07,7230
KDSALTD,43.7,3.31,44.6,42.4,43.7,42.3,1.4,1622,63.47,1457091
KEYACOSMET,4.9,0.0,5.0,4.8,4.9,4.9,0.0,102,1.45,296638
